                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5429,                 2.2276,                  1.517,                0.94445,                0.93721,                0.97127,                0.65573,                  1.109,                 1.4779,                 1.2517,                0.00014,                0.00014,                0.00014
                      2,                 1.0995,                0.68064,                 1.1815,                0.95814,                0.96686,                0.97659,                0.66883,                 1.0451,                 1.1338,                 1.2273,             0.00029406,             0.00029406,             0.00029406
                      3,                 1.0395,                0.59099,                 1.1321,                0.93558,                0.96005,                0.96946,                0.66744,                 1.0965,                0.78752,                 1.2322,             0.00044178,             0.00044178,             0.00044178
                      4,                  1.026,                0.62636,                 1.1132,                0.94877,                0.96461,                0.98101,                 0.6959,                 1.0096,                 1.4709,                 1.1774,             0.00058317,             0.00058317,             0.00058317
                      5,                 1.0248,                0.58549,                 1.1507,                0.93761,                  0.879,                0.95561,                0.66993,                 1.0122,                0.67322,                 1.1565,             0.00071822,             0.00071822,             0.00071822
                      6,                 1.0001,                0.55293,                 1.1277,                0.93167,                 0.9184,                0.96517,                0.68992,                 1.0266,                0.88197,                 1.1623,             0.00084694,             0.00084694,             0.00084694
                      7,                 1.0116,                0.54244,                  1.112,                0.96073,                0.95548,                0.97039,                0.69158,                0.96438,                0.78575,                 1.1507,             0.00096932,             0.00096932,             0.00096932
                      8,                 1.0015,                0.52869,                 1.1216,                0.95496,                0.96804,                0.98598,                0.69289,                 1.0356,                0.65477,                 1.2005,              0.0010854,              0.0010854,              0.0010854
                      9,                 1.0152,                0.52057,                 1.1229,                 0.9701,                0.96461,                0.98239,                0.71809,                0.95497,                0.54482,                 1.1561,              0.0011951,              0.0011951,              0.0011951
                     10,                 1.0423,                0.52281,                 1.1436,                0.96378,                0.96119,                0.98123,                0.69976,                0.99676,                0.54699,                 1.1842,              0.0012984,              0.0012984,              0.0012984
                     11,                0.96979,                0.51258,                   1.11,                0.94909,                0.93637,                0.97062,                0.68946,                 1.0068,                0.55882,                 1.1623,              0.0013955,              0.0013955,              0.0013955
                     12,                0.97684,                0.51176,                 1.1042,                0.95958,                0.92149,                0.97531,                0.71207,                0.96787,                0.52323,                 1.1674,              0.0014862,              0.0014862,              0.0014862
                     13,                0.96311,                0.49387,                 1.1051,                0.93588,                0.95548,                0.97601,                0.71327,                0.97617,                0.50615,                 1.1461,              0.0015248,              0.0015248,              0.0015248
                     14,                 0.9548,                0.47676,                 1.1008,                0.95783,                0.96005,                0.98209,                0.71299,                 0.9894,                 0.4887,                 1.1808,              0.0014852,              0.0014852,              0.0014852
                     15,                0.96486,                0.47845,                 1.1204,                0.96849,                0.97032,                0.98522,                0.72655,                0.95806,                0.45396,                 1.1475,              0.0014456,              0.0014456,              0.0014456
                     16,                0.97364,                0.46974,                 1.1215,                0.93424,                0.95683,                0.97507,                0.71382,                0.93379,                0.48251,                 1.1384,               0.001406,               0.001406,               0.001406
                     17,                0.92177,                 0.4599,                 1.0956,                0.98001,                0.96119,                0.98289,                0.72925,                0.94652,                0.44558,                 1.1345,              0.0013664,              0.0013664,              0.0013664
                     18,                0.92414,                0.46006,                  1.096,                0.97351,                0.96506,                0.98502,                0.73145,                0.94264,                0.43808,                 1.1407,              0.0013268,              0.0013268,              0.0013268
                     19,                0.92551,                0.46035,                 1.0998,                0.97148,                0.96233,                0.98372,                0.74179,                0.91051,                0.41918,                 1.1221,              0.0012872,              0.0012872,              0.0012872
                     20,                 0.9132,                0.44592,                 1.0945,                 0.9695,                0.96005,                0.98264,                0.72237,                0.94184,                0.43667,                 1.1354,              0.0012476,              0.0012476,              0.0012476
                     21,                0.94192,                0.45769,                 1.1161,                0.96656,                0.96575,                 0.9874,                0.72717,                0.94616,                0.43809,                 1.1414,               0.001208,               0.001208,               0.001208
                     22,                 0.9274,                0.44641,                 1.0954,                0.97908,                0.96461,                0.98883,                0.73883,                0.93375,                0.42978,                 1.1429,              0.0011684,              0.0011684,              0.0011684
                     23,                0.92163,                0.44657,                 1.1094,                0.98133,                0.95994,                 0.9885,                0.73883,                0.93895,                0.42674,                 1.1371,              0.0011288,              0.0011288,              0.0011288
                     24,                0.91056,                0.43146,                  1.095,                0.96554,                0.92761,                0.97244,                 0.7027,                0.97727,                0.45202,                   1.16,              0.0010892,              0.0010892,              0.0010892
                     25,                0.92425,                0.44102,                  1.104,                0.96202,                0.94521,                0.98338,                0.73476,                0.92675,                 0.4349,                 1.1229,              0.0010496,              0.0010496,              0.0010496
                     26,                0.91109,                0.42588,                 1.0816,                0.97798,                0.96337,                0.98905,                  0.742,                0.91652,                0.40422,                 1.1193,                0.00101,                0.00101,                0.00101
                     27,                0.89779,                0.43061,                 1.0965,                0.97465,                0.96347,                0.98912,                0.72358,                0.96978,                0.41256,                 1.1573,              0.0009704,              0.0009704,              0.0009704
                     28,                0.89503,                0.43167,                 1.0845,                0.97386,                0.96347,                0.98719,                 0.7406,                0.90639,                 0.3957,                 1.1232,              0.0009308,              0.0009308,              0.0009308
