                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9553,                  13.54,                 1.3837,                0.32523,                0.16842,                0.09694,                0.03078,                 2.0613,                 6.6841,                 2.8035,             0.00066306,             0.00066306,             0.00066306
                      2,                 2.0467,                 1.7692,                 1.4745,                0.75694,                0.52452,                0.58536,                0.20503,                 1.7358,                 1.8238,                 1.4407,              0.0013034,              0.0013034,              0.0013034
                      3,                 2.0375,                 1.6181,                 1.4487,                0.46929,                0.30526,                0.23735,                0.11368,                 2.0308,                 2.8603,                 1.5651,              0.0019173,              0.0019173,              0.0019173
                      4,                 1.9779,                 1.5589,                 1.4354,                 0.6599,                0.81053,                0.71073,                0.29743,                 1.6138,                 1.4681,                 1.3212,              0.0018812,              0.0018812,              0.0018812
                      5,                  1.876,                 1.6108,                 1.3519,                0.49822,                0.87368,                 0.6621,                0.25184,                 1.5144,                 1.2928,                 1.2644,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.859,                 1.4766,                 1.3251,                0.71415,                0.85263,                0.80903,                0.36631,                 1.5529,                 1.4162,                 1.3153,               0.001802,               0.001802,               0.001802
                      7,                 1.8501,                 1.4498,                 1.3363,                0.51474,                0.75789,                 0.5008,                 0.2031,                 1.4512,                 1.7746,                 1.2454,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.7649,                 1.3635,                 1.2758,                0.74587,                0.89596,                0.79787,                 0.3454,                 1.4636,                 1.2133,                 1.2155,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.8497,                 1.3297,                 1.3667,                0.73641,                0.71579,                0.77531,                0.31793,                 1.5683,                 1.2472,                 1.2878,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8311,                 1.3268,                 1.3773,                 0.8539,                0.86131,                0.86371,                0.40408,                 1.4869,                 1.2237,                 1.2325,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6583,                  1.228,                 1.2594,                0.88396,                0.91579,                 0.9206,                0.45599,                 1.3158,                 1.4519,                 1.1429,               0.001604,               0.001604,               0.001604
                     12,                 1.7808,                 1.2875,                 1.2834,                0.80639,                0.83302,                0.86954,                0.42545,                 1.2708,                 1.1918,                 1.1303,              0.0015644,              0.0015644,              0.0015644
                     13,                  1.708,                 1.1714,                 1.3321,                0.79313,                0.87368,                 0.8795,                0.46616,                 1.3412,                 1.4282,                 1.1554,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.5826,                 1.1911,                 1.2057,                 0.8651,                0.87757,                0.90088,                0.44482,                 1.3101,                 1.2139,                 1.1184,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.6032,                 1.1344,                 1.2097,                 0.8553,                0.87368,                0.89208,                0.46419,                 1.2624,                 1.1891,                 1.1097,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.6959,                 1.1343,                 1.3006,                 0.7507,                0.85583,                0.86849,                0.43436,                 1.4101,                 1.1536,                 1.2252,               0.001406,               0.001406,               0.001406
                     17,                 1.6759,                 1.1532,                  1.272,                0.84843,                0.82496,                0.85827,                0.44475,                 1.2862,                 1.3568,                 1.1386,              0.0013664,              0.0013664,              0.0013664
